id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
265	1	0.5726	-0.449	3	158	270	64	2020.8929	5.8438	0.8486
404	19	-0.1873	0.249	5	196	290	58	2020.6	3.1897	0.5462
479	2	0.6283	-0.0608	4	362	831	188	2020.8485	2.6489	0.8416
626	2019 novel coronavirus	0.3919	-0.0884	2	304	584	143	2020.1871	64.7832	3.384
630	2019 novel coronavirus disease	0.1611	0.3693	2	203	274	77	2020.3649	19.1558	1.2579
649	2019-ncov	0.4638	-0.2213	3	927	4090	763	2020.2547	61.8218	3.4688
714	229e	0.6889	-0.5378	3	171	434	63	2017.4127	48.6032	2.2635
938	3c-like protease	1.1041	-0.711	3	132	361	58	2018	22.7586	0.9645
952	3cl protease	1.0975	-0.7551	3	144	424	69	2017.7273	27.7101	1.5379
955	3cl(pro)	1.0434	-0.6611	3	158	345	54	2019.0889	18.0556	2.3673
1014	3d printing	0.0302	-0.2608	3	142	245	100	2020.5158	5.95	0.669
1741	abortion	-0.5664	0.2734	1	88	154	51	2020.5918	2.2353	0.3749
1798	absorption	0.5154	-0.419	3	149	233	54	2020.5	28.3333	1.9262
1825	abuse	-0.8431	0.3635	1	209	443	89	2020.5278	6.6629	0.3894
2044	acceptance	-0.9519	0.0242	1	574	2051	339	2020.7447	4.5339	0.8171
2076	access to care	-0.4566	0.4351	1	162	278	80	2020.68	5.875	1.4454
2116	accessibility	-0.5695	0.0793	1	641	1886	394	2020.6443	4.1904	0.7384
2174	accountability	-0.7625	-0.2958	1	185	310	91	2020.6111	1.6044	0.2772
2223	accuracy	0.2828	-0.3148	3	400	881	193	2020.631	6.2228	0.9526
2239	ace	0.7532	0.3987	4	160	282	60	2020	14.3833	1.0316
2247	ace inhibitors	1.0139	0.5746	4	141	339	64	2020.4333	13.6719	0.9528
2255	ace-2	1.0444	0.1474	4	226	458	86	2020.5385	7.3256	0.9988
2271	ace2	1.0108	0.152	4	1125	14470	2557	2020.4064	20.0289	1.6519
2288	ace2 expression	1.1403	0.4526	4	199	543	70	2020.3529	42.2286	2.4603
2301	ace2 receptor	0.9944	0.0552	4	334	756	121	2020.5263	26.876	2.2097
2387	achievement	-1.1793	-0.1034	1	226	522	80	2020.7761	3.3875	0.5058
2403	acid	0.6846	-0.4073	3	284	553	119	2019.787	7.2353	0.6707
2718	active learning	-0.9521	-0.2643	1	109	191	55	2020.6531	4.2727	0.4357
2788	activism	0.9595	0.0618	4	964	6083	976	2020.2067	20.9631	1.7703
2952	acute coronary syndrome	0.4109	0.751	2	237	660	180	2020.5263	6.7556	0.6648
3054	acute ischemic-stroke	0.3005	0.778	2	133	263	51	2020.6122	2.8627	0.6068
3060	acute kidney injury	0.6624	0.6604	2	441	1724	411	2020.5559	10.8127	1.1828
3081	acute lung injury	1.0199	0.2821	4	592	2734	423	2020.401	22.1702	1.6499
3115	acute myocardial infarction	0.4443	0.7893	2	89	157	51	2020.4694	19.1373	2.0975
3121	acute myocardial-infarction	0.4639	0.6985	2	241	490	86	2020.4568	21.5581	1.1774
3195	acute respiratory distress syndrome	0.6933	0.5227	2	624	2957	644	2020.4457	8.882	0.9632
3196	acute respiratory distress syndrome (ards)	0.7505	0.357	2	304	590	116	2020.3717	19.3362	1.3708
3203	acute respiratory failure	0.4389	0.5986	2	154	320	97	2020.3333	6.134	1.0207
3207	acute respiratory syndrome	0.5698	-0.0517	3	1459	14965	2315	2018.77	54.2924	2.8642
3289	acute-respiratory-syndrome	0.621	-0.1207	3	638	2708	356	2017.25	59.6152	2.4081
3347	adaptation	-0.483	-0.1929	1	586	1447	273	2020.2821	25.9744	1.0105
3411	adaptive immunity	1.0077	0.0972	4	210	414	66	2020.4167	7.3182	0.6849
3476	addiction	-0.7185	0.3772	5	279	710	133	2020.6053	6.8647	0.643
3583	adenovirus	0.7575	-0.2588	3	153	278	56	2019.6154	17.4464	1.1823
3616	adherence	-0.4494	0.4044	5	470	1344	244	2020.6606	4.4918	0.7142
3669	adipose-tissue	0.9098	0.5454	4	208	513	72	2020.4789	16.1111	1.2128
3694	adjustment	-1.0642	0.2339	5	293	752	113	2020.6264	7.9292	0.6778
3701	adjuvant	0.9883	-0.3413	3	208	534	88	2020.2439	10.6023	0.9604
3790	admission	0.0549	0.6111	2	287	638	135	2020.6612	81.8667	4.6663
3854	adolescents	-0.7252	0.5186	5	812	5546	902	2020.6675	5.4424	0.6216
3869	adoption	-1.0409	-0.3613	1	367	1144	180	2020.7704	2.8944	0.4952
4054	adults	-0.1379	0.4792	5	1127	5751	958	2020.3886	11.0271	1.0899
4186	adverse effects	0.5728	0.1984	3	145	220	51	2020.7292	5.549	1.1261
4190	adverse events	0.3913	0.3278	2	282	496	119	2020.6476	4.4202	0.681
4243	advocacy	-0.6924	0.2763	1	152	235	58	2020.5909	2.2931	0.3711
4315	aerosol	0.0785	-0.3198	6	483	2249	538	2020.5823	10.4201	1.0703
4383	aerosol transmission	0.2246	-0.4722	6	132	263	50	2020.6444	14.5	2.876
4389	aerosol-generating procedure	0.093	0.2687	2	177	488	144	2020.3409	5.75	0.5524
4547	africa	-0.2743	-0.2673	1	580	1491	419	2020.4987	5.6158	0.6085
4566	african americans	-0.3454	0.2449	1	345	786	149	2020.5952	11.8523	1.0095
4812	ageism	-0.7077	0.2545	5	130	233	66	2020.5088	6.7424	0.7029
4831	agent	0.3223	-0.4191	3	278	489	92	2017.9167	23.5	0.8672
4840	agent-based model	-0.2575	-0.5991	6	145	298	80	2020.6571	2.9625	0.3787
4857	ageusia	0.3696	0.8062	2	126	327	96	2020.5	14.4792	1.1578
4924	aging	-0.1444	0.3337	5	1116	4814	920	2020.5725	8.012	0.8636
5057	agriculture	-0.4974	-0.5472	1	212	436	107	2020.6875	4.3271	0.6507
5118	ai	-0.2411	-0.5443	1	211	462	91	2020.6329	5.8352	0.6543
5166	aids	-0.235	-0.0926	1	301	581	130	2020.4071	7.1	1.8037
5199	air	0.0585	-0.4743	6	245	664	138	2020.5455	10.8986	1.1295
5271	air pollution	-0.1126	-0.6387	6	538	2654	610	2020.6673	11.918	1.418
5290	air quality	-0.2426	-0.821	6	226	1084	238	2020.6303	12.2857	1.3386
5364	air-quality	-0.2804	-0.7579	6	203	630	126	2020.6923	6.4603	0.7665
5377	airborne	0.0713	-0.4098	6	156	377	76	2020.6029	16.4342	1.3346
5419	airborne transmission	0.1032	-0.4055	6	300	938	211	2020.5833	19.5118	1.8557
5506	airway	0.3088	0.311	2	187	343	77	2020.3333	14	0.9083
5529	airway management	0.1148	0.4802	2	117	290	95	2020.3226	8.9053	0.5432
5574	aki	0.719	0.6823	2	135	286	68	2020.5763	11.6912	1.1648
5651	alcohol	-0.6226	0.349	5	433	1383	275	2020.6807	6.5236	1.09
5803	algorithm	-0.0512	-0.5326	6	406	966	247	2020.5023	12.3239	0.9945
5827	alignment	0.3726	-0.718	3	240	542	138	2019.4127	24.9348	2.3653
5925	allergy	0.4032	0.1861	3	164	364	92	2020.6329	22.75	2.1619
5968	allocation	-0.4924	0.0054	1	209	404	93	2020.5556	9.9677	0.749
6058	alpha	0.8676	0.0636	4	282	512	88	2019.9383	15.0227	1.1772
6389	alzheimer's disease	0.2485	0.5458	2	234	479	87	2020.5769	7.8851	1.2233
6399	alzheimers-disease	0.2742	0.4654	2	315	722	109	2020.5437	5.2202	0.9292
6587	american society	0.2938	0.5468	2	212	442	85	2020.4533	12.8706	0.9102
6672	aminopeptidase-n	0.99	-0.5899	3	189	492	73	2013.5833	85.8356	1.7053
6756	amplification	0.3697	-0.5469	3	191	365	75	2018.9041	22.6	1.1597
6834	anaesthesia	-0.0158	0.4153	2	118	197	56	2020.5	10.7679	0.778
6850	anakinra	1.1404	0.4788	4	172	424	82	2020.6173	11.8049	1.6427
6935	analytics	-0.7231	-0.4951	1	166	301	62	2020.5926	6.5806	1.3529
6952	anaphylaxis	0.4718	0.1434	3	98	236	77	2020.942	4.013	1.6016
7173	anemia	0.5347	0.384	4	137	195	54	2020.7308	4.0741	0.7825
7177	anesthesia	0.0733	0.4583	2	210	411	116	2020.3394	4.8621	0.4133
7242	angiotensin	1.023	0.484	4	230	581	101	2020.0707	13	0.9366
