id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
373	2019	0.26	0.1979	5	29	34	13	2020.6667	3.0769	0.4888
390	2020	-0.3688	-0.1898	10	28	29	15	2020.4286	2.4	0.4405
406	2030 agenda	-0.9094	0.4373	1	38	46	14	2020.2143	0.7143	0.0641
450	25-hydroxyvitamin d	0.7866	0.0766	2	41	57	16	2020.6429	12.0625	1.6782
516	30-day mortality	0.4865	-0.2316	7	23	25	14	2020.8333	9.2143	0.9056
563	3c-like protease	1.1559	0.6302	2	44	75	28	2017.0357	29.1786	1.1241
573	3cl protease	1.1636	0.5695	2	52	78	36	2018.1471	16.75	1.4179
576	3cl(pro)	1.1426	0.7172	2	60	109	38	2020.4839	13.2368	2.8504
581	3clpro	1.1245	0.7589	2	49	88	37	2020.4333	15.0541	1.2647
636	3d printing	0.0453	0.298	7	132	215	96	2020.4945	6.1875	0.6922
784	5g mobile communication	-0.5133	0.6576	5	38	48	11	2020.7273	3.2727	0.966
1061	abdominal pain	0.8231	-0.2732	4	41	57	22	2020.3182	5.1818	0.5675
1098	ableism	-1.0051	-0.0812	1	22	25	10	2020.6667	4	1.1226
1114	abnormal returns	-0.9103	0.5722	1	10	14	10	2020.6667	13.6	0.8963
1124	abo blood group	0.596	0.261	4	33	36	25	2020.7917	6.08	0.9605
1127	abo blood groups	0.8276	0.1936	4	18	21	13	2020.6667	9	0.968
1144	abortion	-0.4422	-0.3106	9	68	102	42	2020.5952	2.2381	0.4363
1179	absolute humidity	-0.3075	0.8695	1	16	25	11	2020.4545	35.4545	2.6716
1211	abuse	-0.806	-0.4908	3	54	72	22	2020.4706	10.1818	0.4137
1226	academia	-0.7668	-0.0204	1	67	81	27	2020.5417	2.1111	0.3726
1228	academic	-0.7491	-0.5311	3	28	33	12	2020.7	1.25	0.2923
1295	academic integrity	-1.2476	-0.0528	1	14	21	12	2020.8182	2.25	0.3795
1305	academic libraries	-0.845	-0.0421	1	63	80	36	2020.7143	1.3889	0.2545
1316	academic medical centers	-0.2723	-0.4911	9	44	54	11	2020.9	1.2727	0.3554
1325	academic performance	-0.9114	-0.1878	1	47	61	25	2020.8333	1.6	0.4129
1358	academic stress	-1.1532	-0.3251	1	17	19	10	2020.6	4.9	1.2878
1380	academics	-0.6636	-0.4743	1	37	46	20	2020.6154	1.65	0.5816
1413	acceptability	-0.244	-0.553	3	59	75	19	2020.5882	5.3158	0.8347
1416	acceptance	-0.6397	-0.1596	3	158	279	78	2020.8594	5.1795	1.1031
1418	acceptance and commitment therapy	-0.8946	-0.8463	3	21	26	10	2020.5556	6.7	0.3174
1430	access	-0.3734	-0.2957	9	166	216	60	2020.717	3.1667	0.7532
1445	access to care	-0.2733	-0.5365	6	141	216	80	2020.68	5.875	1.4454
1454	access to health care	-0.2708	-0.3926	9	42	52	18	2020.6	1.2778	0.2643
1460	access to information	-0.8646	0.0929	1	50	56	18	2020.6471	3.1667	0.291
1463	access to justice	-1.0656	0.0583	1	12	19	14	2020.5	0.2857	0.0142
1486	accessibility	-0.6481	0.0252	1	140	175	64	2020.7241	2.3125	0.5903
1513	accident & emergency medicine	0.0429	-0.8632	11	14	18	10	2020.6	2	0.501
1543	accountability	-0.7957	0.1899	1	98	115	46	2020.5	1.7609	0.3046
1551	accounting	-0.6821	0.3548	1	31	33	15	2020.9	0.3333	0.1204
1558	accounting education	-1.0117	-0.3049	1	18	18	13	2020.8	2.3077	0.2076
1579	accreditation	-0.4423	-0.1208	1	37	42	14	2020.4286	1.2857	0.0925
1592	accuracy	0.1951	0.2957	5	90	122	44	2020.7	2.5227	0.4345
1602	ace	1.0604	0.1849	4	60	83	36	2019.7778	18.5278	0.8604
1609	ace inhibitor	1.3281	-0.2732	4	26	35	15	2020.3846	19.8667	0.9853
1610	ace inhibitors	1.2369	-0.0987	4	73	144	45	2020.4186	12.3111	0.9388
1618	ace-2	0.9058	0.1021	2	147	192	86	2020.5385	7.3256	0.9988
1622	ace-2 receptor	1.0149	0.1441	2	57	63	22	2020.5909	19.2727	1.2663
1634	ace2	0.9531	0.1982	2	811	2443	1022	2020.3778	17.3112	1.3931
1666	ace2 receptor	0.9846	0.3134	2	108	143	64	2020.4576	25.7188	2.5078
1668	ace2 receptors	0.7656	0.2012	2	46	47	22	2020.4091	4.7273	0.4536
1693	acei	1.2122	-0.0969	4	42	70	24	2020.4091	22.4167	1.5686
1698	aceis	1.2777	-0.0435	4	20	33	11	2020.5	3.9091	0.7418
1845	acs	0.7859	-0.8831	4	10	20	10	2020.3	12	2.1623
1889	action research	-0.832	0.0333	1	38	40	17	2020.3529	1.8235	0.1613
1962	active learning	-0.8484	-0.1604	1	101	144	53	2020.6596	4.434	0.4521
1996	active surveillance	0.3482	-0.284	9	25	28	10	2020.6667	0.9	0.0446
2019	activism	-0.995	0.0752	1	54	60	23	2020.5	0.5652	0.1285
2026	activities of daily living	0.0442	-0.5696	6	48	57	19	2020.625	2.3684	0.329
2029	activity	-0.1981	-0.1377	3	55	57	18	2020.7778	3.3333	0.5225
2093	acupuncture	0.6521	-0.1409	2	23	42	22	2020.3	1.6818	0.1199
2096	acute	0.3987	-0.3197	2	37	38	13	2020.6364	3.3846	0.9059
2097	acute abdomen	0.5501	-0.4603	7	24	31	23	2020.5	6.2174	0.4132
2123	acute appendicitis	0.5765	-0.2878	7	23	31	26	2020.7391	4.5769	0.6695
2134	acute cardiac injury	0.9935	-0.5777	4	30	38	17	2020.5	3.9412	0.5027
2139	acute care	0.0643	-0.3393	6	58	60	25	2020.75	2.36	0.8082
2150	acute care surgery	0.0245	-0.3394	7	14	17	15	2020.4615	3.6667	0.2622
2157	acute chest syndrome	0.5166	-0.2205	8	10	20	11	2020.5455	3.2727	0.2719
2159	acute cholecystitis	0.5262	-0.3718	4	15	19	14	2020.6154	2.4286	0.1778
2173	acute coronary syndrome	0.7629	-0.6565	4	139	273	128	2020.5528	7.1328	0.6485
2177	acute coronary syndromes	0.6748	-0.7314	4	43	70	25	2020.5	6.92	0.5682
2191	acute disseminated encephalomyelitis	0.927	-0.5586	6	25	37	15	2019	20.6667	0.6922
2241	acute hypoxemic respiratory failure	0.9926	-0.434	7	25	31	15	2020.6667	2.4667	0.5242
2268	acute ischemic stroke	0.8114	-0.6214	4	52	73	39	2020.6286	1.7949	0.3363
2275	acute kidney injury	0.9368	-0.3383	4	299	761	336	2020.5311	10.3482	0.9371
2286	acute limb ischemia	1.1532	-0.5626	4	19	30	21	2020.6667	7.2857	0.457
2294	acute lung injury	1.0488	0.0069	2	124	204	76	2020.5068	12.4605	0.9762
2302	acute lymphoblastic leukemia	0.6396	-0.0797	8	15	19	10	2020.5	6.7	0.4127
2318	acute myeloid leukemia	0.5743	-0.0596	8	16	16	12	2020.6364	1.4167	0.1037
2322	acute myocardial infarction	0.7925	-0.7216	4	63	103	50	2020.4583	19.52	2.1394
2346	acute pancreatitis	0.711	-0.327	4	33	37	39	2020.5278	6	0.3749
2373	acute pulmonary embolism	1.2385	-0.5803	4	24	27	13	2020.3846	3.4615	0.2953
2381	acute renal failure	0.9569	-0.3961	4	52	77	31	2019.5484	22.2903	2.9444
2387	acute respiratory disease	0.2505	0.5136	2	35	45	17	2019.8125	65.5294	3.3181
2391	acute respiratory distress	0.6259	-0.2937	7	19	19	12	2020.2727	9.8333	0.4679
2395	acute respiratory distress syndrome	1.0105	-0.2427	7	558	1580	643	2020.4448	8.8958	0.9647
2396	acute respiratory distress syndrome (ards)	1.0197	-0.1523	2	203	317	116	2020.3717	19.3362	1.3708
2404	acute respiratory failure	0.8651	-0.408	7	110	209	97	2020.3333	6.134	1.0207
2406	acute respiratory infection	0.5435	0.2783	2	42	48	16	2018.0625	13.8125	0.4145
2407	acute respiratory infections	0.2875	0.2413	2	27	29	16	2018.8667	6.25	0.3627
2409	acute respiratory syndrome	0.8643	-0.1091	2	39	48	16	2020.25	11.75	0.6832
2417	acute respiratory tract infection	0.356	0.4141	7	30	32	10	2017.6	8.7	0.7295
2439	acute stress	-0.7545	-0.8351	3	25	41	15	2020.8	9.2667	1.2097
2440	acute stress disorder	-0.8101	-0.7328	3	24	29	12	2020.5	9.3333	1.1996
2444	acute stroke	0.5577	-0.6926	4	25	37	20	2020.2941	14.7	0.9704
2505	adam17	1.2769	0.1751	2	34	53	17	2020.5882	14.7647	1.7486
2516	adamts13	1.3339	-0.3509	4	30	43	15	2020.8571	4.1333	1.1158
2520	adaptability	-0.7136	-0.0259	1	66	76	27	2020.6667	2.5185	0.488
2529	adaptation	-0.6245	0.1126	1	169	229	85	2020.5143	4.6118	0.5098
2535	adaptation models	-0.3268	0.7981	5	63	87	16	2020.75	3.375	0.2427
2557	adaptive	0.3296	0.114	2	39	42	12	2020.6667	1.5833	0.4804
2595	adaptive immunity	1.0934	0.0728	2	93	148	49	2020.3409	7.7143	0.6359
2657	addiction	-0.5753	-0.4481	10	102	159	66	2020.566	7.8333	0.543
2688	additive manufacturing	0.0938	0.3773	7	43	90	43	2020.5641	5.3953	0.7909
2697	ade	0.9621	0.465	2	16	20	10	2019.2	20.1	1.6949
2702	adem	0.8698	-0.5659	6	18	22	13	2019.0909	47.6923	3.0979
2713	adenosine	1.1729	0.0956	2	16	20	11	2020.6364	2.6364	0.3499
2733	adenovirus	0.5979	0.4587	2	61	84	34	2019.75	12.0882	0.9205
2751	adhd	-0.3423	-0.5416	3	73	86	30	2020.75	8.7	2.2599
2753	adherence	-0.185	-0.1344	3	199	298	102	2020.6923	4.3333	0.8901
2791	adipose tissue	0.8075	-0.0843	2	36	51	17	2020.5	3.4706	0.1928
2812	adjustment	-0.1939	-0.5057	3	25	27	12	2020.5	4.8333	0.4741
2820	adjuvant	0.804	0.4786	2	70	104	41	2020.3947	10.0976	0.7582
2831	adjuvants	0.7453	0.3977	2	31	40	14	2018.8571	16.2857	0.9614
2837	adme	1.0646	0.4277	2	31	53	22	2020.7143	6.5	2.1628
2846	admet	1.1411	0.7351	2	54	120	43	2020.5517	6.5814	1.8573
2855	administration	-0.0762	0.1254	8	57	63	27	2020.6087	1.8889	0.477
2912	admission	0.4644	-0.531	4	51	62	19	2020.5	12.5789	1.0257
2922	admissions	0.6272	-0.7995	4	27	37	18	2020.625	3.7222	1.1002
2928	adolescence	-0.5759	-0.4952	3	131	187	64	2020.8113	3.0625	1.0537
2929	adolescent	-0.2046	-0.476	3	247	400	138	2020.512	6.1522	0.6533
2942	adolescent health	-0.3405	-0.2837	5	66	78	27	2020.625	1.1852	0.2245
2957	adolescents	-0.3781	-0.4498	3	415	909	302	2020.6618	7.1424	0.6559
2968	adoption	-0.8253	-0.0926	1	71	76	18	2020.8	0.6111	0.1113
3007	adrenal insufficiency	0.9191	-0.4061	9	29	34	19	2020.6667	6.6316	1.3229
3026	adsorption	0.8241	0.5458	2	18	20	12	2018.8333	6.6667	0.9169
3032	adult	0.5179	-0.3361	7	204	312	83	2020.3333	8.8795	0.7663
3045	adult congenital heart disease	0.2628	-0.8471	4	13	14	12	2020.5	4	0.4663
3055	adult education	-1.0812	-0.2112	1	21	22	12	2020.7273	0.8333	0.1753
3066	adult intensive &amp	0.104	-0.7519	11	23	43	13	2020.7692	2.9231	0.9486
3067	adult intensive care	0.5621	-0.7522	4	33	73	32	2020.5625	2.8125	0.2148
3086	adult psychiatry	-0.15	-1.1511	11	13	47	17	2020.6471	3.6471	0.8663
3088	adult respiratory distress syndrome	0.8415	-0.3569	7	64	85	34	2019.8125	9.6765	0.8002
3115	adults	0.067	-0.198	3	215	291	85	2020.7105	7.8353	0.7266
3124	advance care planning	-0.2588	-0.4995	6	73	104	41	2020.65	5.6341	0.4852
